date,cash,market_value,equity,positions
2026-01-01,3000000.0,0.0,3000000.0,0
2026-01-02,3000000.0,0.0,3000000.0,0
2026-01-05,1112304.0,1872600.0,2984904.0,7
2026-01-06,543154.0,2450800.0,2993954.0,8
2026-01-07,543154.0,2470000.0,3013154.0,8
2026-01-08,543154.0,2452000.0,2995154.0,8
2026-01-09,338606.0,2670300.0,3008906.0,8
2026-01-12,338606.0,2670300.0,3008906.0,8
2026-01-13,551606.0,2492600.0,3044206.0,7
2026-01-14,1983.5,3088600.0,3090583.5,8
2026-01-15,1983.5,3103200.0,3105183.5,8
2026-01-16,133541.00000000006,3017300.0,3150841.0,7
2026-01-19,133541.00000000006,2984800.0,3118341.0,7
2026-01-20,133541.00000000006,2953400.0,3086941.0,7
2026-01-21,569441.0,2510800.0,3080241.0,6
2026-01-22,372664.0000000001,2771400.0,3144064.0,5
2026-01-23,54521.50000000012,3100000.0,3154521.5,5
2026-01-26,1197021.5,1860700.0,3057721.5,4
2026-01-27,107601.5,2904200.0,3011801.5,3
2026-01-28,1182377.5,1780000.0,2962377.5,1
2026-01-29,1182377.5,1807200.0,2989577.5,1
2026-01-30,1182377.5,1778400.0,2960777.5,1
2026-02-02,45657.50000000006,2892200.0,2937857.5,5
2026-02-03,467657.50000000006,2576000.0,3043657.5,4
2026-02-04,319873.50000000006,2816650.0,3136523.5,5
2026-02-05,11473.5,3123500.0,3134973.5,5
2026-02-06,264073.5,2938350.0,3202423.5,4
2026-02-09,264073.5,2951700.0,3215773.5,4
2026-02-10,608073.5,2664150.0,3272223.5,3
2026-02-11,608073.5,2664150.0,3272223.5,3
2026-02-12,110520.50000000006,3155200.0,3265720.5,4
2026-02-13,110520.50000000006,3210200.0,3320720.5,4
2026-02-16,110520.50000000006,3205900.0,3316420.5,4
2026-02-17,309520.50000000006,3069950.0,3379470.5,3
2026-02-18,463039.25,2904600.0,3367639.25,2
2026-02-19,463039.25,2952300.0,3415339.25,2
2026-02-20,463039.25,2850000.0,3313039.25,2
2026-02-23,463039.25,2850000.0,3313039.25,2
2026-02-24,2850319.25,493500.0,3343819.25,1
2026-02-25,2850319.25,492300.0,3342619.25,1
2026-02-26,2850319.25,494100.0,3344419.25,1
2026-02-27,83835.25,3318400.0,3402235.25,3
2026-03-02,83835.25,3219500.0,3303335.25,3
2026-03-03,3222847.75,0.0,3222847.75,0
2026-03-04,3222847.75,0.0,3222847.75,0
2026-03-05,567847.75,2643000.0,3210847.75,2
2026-03-06,3211847.75,0.0,3211847.75,0
2026-03-09,3211847.75,0.0,3211847.75,0
2026-03-10,3289647.75,0.0,3289647.75,0
