date,cash,market_value,equity,positions
2026-01-05,2758362.5,240500.0,2998862.5,3
2026-01-06,1575380.0,1419100.0,2994480.0,6
2026-01-07,1575380.0,1422700.0,2998080.0,6
2026-01-08,1575380.0,1412800.0,2988180.0,6
2026-01-09,471188.0,2495200.0,2966388.0,1
2026-01-13,471188.0,2558400.0,3029588.0,1
2026-01-14,361263.5,2711800.0,3073063.5,2
2026-01-15,307821.0,2802000.0,3109821.0,2
2026-01-16,387366.00000000047,2721000.0,3108366.0000000005,1
2026-01-19,387366.00000000047,2667000.0,3054366.0000000005,1
2026-01-20,3012366.0000000005,0.0,3012366.0000000005,0
2026-01-21,3012366.0000000005,0.0,3012366.0000000005,0
2026-01-22,357735.00000000093,2655000.0,3012735.000000001,1
2026-01-23,127713.00000000093,2907600.0,3035313.000000001,1
2026-01-26,2869713.000000001,0.0,2869713.000000001,0
2026-01-27,86583.0000000014,2749200.0,2835783.0000000014,1
2026-01-28,86583.0000000014,2670000.0,2756583.0000000014,1
2026-01-29,2797383.0000000014,0.0,2797383.0000000014,0
2026-01-30,2797383.0000000014,0.0,2797383.0000000014,0
2026-02-02,1018105.5000000014,1763200.0,2781305.5000000014,5
2026-02-03,1117805.5000000014,1726600.0,2844405.5000000014,2
2026-02-04,1013599.0000000014,1926950.0,2940549.0000000014,4
2026-02-05,599.000000001397,2883600.0,2884199.0000000014,1
2026-02-06,599.000000001397,2934900.0,2935499.0000000014,1
2026-02-09,2951699.0000000014,0.0,2951699.0000000014,0
2026-02-10,77219.00000000186,2910000.0,2987219.000000002,1
2026-02-12,77219.00000000186,2970000.0,3047219.000000002,1
2026-02-13,77219.00000000186,2877000.0,2954219.000000002,1
2026-02-16,2552219.000000002,0.0,2552219.000000002,0
2026-02-17,1841719.0000000019,709000.0,2550719.000000002,1
2026-02-18,68719.00000000186,2472000.0,2540719.000000002,1
2026-02-19,1173048.0000000019,1392400.0,2565448.000000002,3
2026-02-20,1173048.0000000019,1377100.0,2550148.000000002,3
2026-02-24,2569748.000000002,0.0,2569748.000000002,0
2026-02-25,2569748.000000002,0.0,2569748.000000002,0
2026-02-26,1836421.0000000019,735100.0,2571521.000000002,2
2026-02-27,2519.0000000018626,2627600.0,2630119.000000002,4
2026-03-02,2519.0000000018626,2547900.0,2550419.000000002,4
2026-03-03,2487019.000000002,0.0,2487019.000000002,0
2026-03-04,2487019.000000002,0.0,2487019.000000002,0
2026-03-05,754019.0000000019,1719000.0,2473019.000000002,2
2026-03-06,2471019.000000002,0.0,2471019.000000002,0
2026-03-09,2471019.000000002,0.0,2471019.000000002,0
2026-03-10,601919.0000000019,1922500.0,2524419.000000002,2
