date,nikkei_phase,equity,pnl_day
2025-04-01,crash,2935336.0,-64664.0
2025-04-02,crash,2925100.0,-10236.0
2025-04-03,crash,2912570.0,-12530.0
2025-04-04,crash,2912570.0,0.0
2025-04-07,crash,2912570.0,0.0
2025-04-08,crash,2912570.0,0.0
2025-04-09,crash,2902059.0,-10511.0
2025-04-10,crash,2960159.0,58100.0
2025-04-11,crash,2935027.0,-25132.0
2025-04-14,crash,2949327.0,14300.0
2025-04-15,capitulation_end,2952727.0,3400.0
2025-04-16,crash,2945833.5,-6893.5
2025-04-17,capitulation_end,2945583.5,-250.0
2025-04-18,crash,3002066.0,56482.5
2025-04-21,crash,3005112.0,3046.0
2025-04-22,crash,3000492.0,-4620.0
2025-04-23,crash,3013742.0,13250.0
2025-04-24,downtrend,3005392.0,-8350.0
2025-04-25,downtrend,3005392.0,0.0
2025-04-28,settling,3002355.0,-3037.0
2025-04-30,normal,3030355.0,28000.0
2025-05-01,normal,3031555.0,1200.0
2025-05-02,normal,3032155.0,600.0
2025-05-07,normal,3005455.0,-26700.0
2025-05-08,normal,3005455.0,0.0
2025-05-09,normal,3005455.0,0.0
2025-05-12,normal,3005455.0,0.0
2025-05-13,normal,3005455.0,0.0
2025-05-14,normal,3005455.0,0.0
2025-05-15,normal,3005455.0,0.0
2025-05-16,normal,3033855.0,28400.0
2025-05-19,normal,3003055.0,-30800.0
2025-05-20,normal,2987055.0,-16000.0
2025-05-21,uptrend,2987055.0,0.0
2025-05-22,uptrend,2987055.0,0.0
2025-05-23,uptrend,2987055.0,0.0
2025-05-26,uptrend,2987055.0,0.0
2025-05-27,uptrend,2987055.0,0.0
2025-05-28,uptrend,2987055.0,0.0
2025-05-29,uptrend,2987055.0,0.0
2025-05-30,uptrend,2983231.5,-3823.5
2025-06-02,uptrend,2983431.5,200.0
2025-06-03,normal,2978131.5,-5300.0
2025-06-04,normal,3001031.5,22900.0
2025-06-05,normal,3011031.5,10000.0
2025-06-06,normal,3015431.5,4400.0
2025-06-09,normal,3024631.5,9200.0
2025-06-10,normal,3023431.5,-1200.0
2025-06-11,normal,3033431.5,10000.0
2025-06-12,normal,3032031.5,-1400.0
2025-06-13,stable,3022031.5,-10000.0
2025-06-16,stable,3027231.5,5200.0
2025-06-17,stable,3038831.5,11600.0
2025-06-18,stable,3035831.5,-3000.0
2025-06-19,uptrend,3043831.5,8000.0
2025-06-20,uptrend,3032231.5,-11600.0
2025-06-23,uptrend,3032431.5,200.0
2025-06-24,stable,3043031.5,10600.0
2025-06-25,stable,3044031.5,1000.0
2025-06-26,uptrend,3046031.5,2000.0
2025-06-27,stable,3049231.5,3200.0
2025-06-30,uptrend,3045631.5,-3600.0
