quarter,rank,ticker,company_name,sector,score,annual_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,end_to_trailing_high_pct,persistence_20d_pct,quarter_end_close,price_rows,trailing_return_pct,learning_date,training_cutoff_date,ocr_per,ocr_pbr,ocr_roe,ocr_roa,ocr_yield,ocr_per_confidence,ocr_pbr_confidence,ocr_roe_confidence,ocr_roa_confidence,ocr_yield_confidence,ocr_metrics_text,image_file,sector_adjusted_per_score,finance_quality_score,growth_quality_score,ocr_style_label,simple_sector,headline_score_raw,shikiho_score_overall,forecast_per,promising_score
2025Q4_PRE,308,5989.T,エイチワン,金属製品,0.7966844065992548,59.58378970427163,13.209013209013198,13.154396930895048,17.798594847775174,0.8791805352055481,28.964401294498376,75.0,95.04240052185257,90.0,1457.0,6535,59.58378970427163,2025-09-30,2025-09-30,4.0,4.0,26.3,4.0,4.0,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
4.0
<27.3>
3.8
实PER
高值平均
3.2
安值平均
1.7
PBR
0-63
株倡(8/27)
1437F
十万件
最低購人额
5
8.0
14万37009
5989
金",2071.png,1.0,0.5852980308674826,0.7969265566790846,中間型,金属製品,0.0,3.0,4.0,0.7966844065992548
2025Q4_PRE,623,5644.T,メタルアート,鉄鋼,0.7320223523150613,30.62135255750085,13.922155688622762,9.038468848595429,12.312312312312311,0.7086385173644102,25.151079136690647,75.0,85.50561797752809,95.0,3805.0,6470,30.62135255750085,2025-09-30,2025-09-30,5.6,5.6,26.3,5.6,5.6,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<26.3>
5.6
<27.3>
5.4
实PER
高值平均
5.2
安值平均
3.1
PBR
0.46
2
株佰（8/27)
3755P
CIER
最低購人额
5
87
37万5500P
5644",1952.png,1.0,0.5897086216072378,0.7509712613092071,中間型,鉄鋼,0.0,3.0,5.6,0.7320223523150613
2025Q4_PRE,301,4404.T,ミヨシ油脂,食料品,0.798759978712081,35.91811414392059,26.940903823870222,12.846731265191448,16.824395373291278,0.6983866787520638,16.287015945330296,75.0,99.81776765375854,55.00000000000001,2191.0,6276,35.91811414392059,2025-09-30,2025-09-30,2.2,2.2,25.12,2.2,2.2,medium,medium,low,low,low,"株伍指标
海正餐
予想PER
（倍）
<25.12>
2.2
(26.12>
11.1
实PER
高值平均
6.7
安值平均
4.3
PBR
0-55
株倡(8/27)
2106m
最低購人额
5
21万600P
特
4404
食",1444.png,1.0,0.3958422032996274,0.7614422565194252,業績急伸型,食料品,0.0,3.0,2.2,0.798759978712081
2025Q4_PRE,270,7490.T,日新商事,卸売業,0.8064928153273018,50.847457627118644,31.527093596059117,14.028011333910264,20.67510548523206,0.6673090636837968,9.67032967032967,66.66666666666666,94.8153409090909,100.0,1335.0,6262,50.84745762711864,2025-09-30,2025-09-30,2.3,2.3,26.3,2.3,2.3,medium,medium,low,low,low,"1210
株伍指标
予想PER
（倍）
<26.3>
2.3
<27.3>
17.4
实PER
高值平均
21.8
安值平均
19.8
PBR
0-31
株倡（8/27)
6
确
1170m
最低購人额
5
27
11万7000m
速速の特
7490
卸
K",2927.png,1.0,0.5790713145290047,0.857856572645024,業績急伸型,卸売業,0.0,3.0,2.3,0.8064928153273018
2025Q4_PRE,936,7212.T,エフテック,輸送用機器,0.6736455561468867,51.58102766798418,12.628487518355369,12.034446100479084,14.84375,0.6549812507468756,31.932773109243694,50.0,77.78904665314401,55.00000000000001,767.0,6255,51.58102766798418,2025-09-30,2025-09-30,4.3,4.3,26.3,4.3,4.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
4.3
<27.3>
3.9
实PER
高值平均
9.5
安值平均
5.9
PBR
0-29
株佰（8/27)
771A9
最低購人额
5
12.9
7万7100P
7212
特
输",2772.png,1.0,0.5860963278339542,0.652142096860032,中間型,輸送用機器,0.0,3.0,4.3,0.6736455561468867
2025Q4_PRE,602,3551.T,ダイニック,繊維製品,0.7341830761043108,31.88976377952757,16.05080831408776,11.187257649076148,15.227817745803351,0.6484882115100995,20.172201722017224,58.333333333333336,98.82005899705014,85.0,1005.0,6276,31.88976377952757,2025-09-30,2025-09-30,3.3,3.3,26.3,3.3,3.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
3.3
<27.3>
4.5
实PER
高值平均
9.1
安值平均
6.6
PBR
0-29
5
株倡(8/27)
1排
929
最低購人额
52
9万2900F
逆術特
3551",962.png,1.0,0.5849387972325705,0.7327767429483768,中間型,繊維製品,0.0,3.0,3.3,0.7341830761043108
2025Q4_PRE,1080,6366.T,千代田化工建設,建設業,0.6443640234167111,38.38028169014085,14.912280701754387,14.23127113064564,15.77287066246056,0.5619640433182395,21.62921348314607,58.333333333333336,84.51612903225806,60.0,393.0,6535,38.38028169014085,2025-09-30,2025-09-30,5.1,5.1,26.3,5.1,5.1,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
5.1
<27.3>
6.7
实PER
高值平均
7.4
安值平均
4.6
PBR
株倡（8/27)
8
396P
最低購人额
5
89
3万9600F
6366
新
建",2298.png,1.0,0.5882916444917509,0.6395023948908993,中間型,建設業,0.0,3.0,5.1,0.6443640234167111
2025Q4_PRE,773,3945.T,スーパーバッグ,パルプ・紙,0.703235763704098,24.922394678492243,12.680000000000003,7.083798073917606,11.498257839721248,0.5606892507228916,19.620253164556967,58.333333333333336,99.50547509713881,100.0,2817.0,6273,24.922394678492243,2025-09-30,2025-09-30,4.3,4.3,26.3,4.3,4.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
4.3
<27.3>
3.8
实PER
高值平均
4.6
安值平均
2.6
PBR
0-82
株倡(8/27)
6
万排
2603m
最低購人额
20
26万300F
3945
特
八",1184.png,1.0,0.5860963278339542,0.7103312932410858,中間型,パルプ・紙,0.0,3.0,4.3,0.703235763704098
2025Q4_PRE,255,2418.T,ツカダ・グローバルホールディング,サービス業,0.8089302820649282,75.57251908396947,21.693121693121697,15.995731850889626,26.34228187919463,0.877563528791652,22.077922077922075,66.66666666666666,92.74193548387096,55.00000000000001,690.0,5278,75.57251908396947,2025-09-30,2025-09-30,4.7,4.7,25.12,4.7,4.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
4.7
(26.12>
5.9
实PER
高值平均
7.8
安值平均
4.9
PBR
0-97
株倡(8/27)
2
721月
最低購人额
5
7万2100m
2418
力特",360.png,0.9981308411214952,0.4029603512506652,0.8177754124534327,業績急伸型,サービス業,0.0,3.0,4.7,0.8089302820649282
2025Q4_PRE,260,7509.T,アイエーグループ,小売業,0.8086003193187867,35.35031847133758,20.056497175141242,11.187221692872969,12.482269503546096,0.8056161997845239,9.226190476190476,75.0,100.0,75.0,4250.0,6535,35.35031847133758,2025-09-30,2025-09-30,5.0,5.0,26.3,5.0,5.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
5.0
<27.3>
4.8
实PER
高值平均
4.5
安值平均
3.9
PBR
0-37
7
株倡(8/27)
确
3900m
最低購人额
5
8.3
39万月
7509
特",2936.png,0.9969325153374232,0.5868147951037785,0.7779869611495476,中間型,小売業,0.0,3.0,5.0,0.8086003193187867
2025Q4_PRE,686,6969.T,松尾電機,電気機器,0.7217163384779139,76.60818713450293,22.10242587601079,23.943385733318348,41.95183776932827,0.6801372559331188,27.65151515151515,58.333333333333336,83.96663577386468,45.0,906.0,6470,76.60818713450293,2025-09-30,2025-09-30,5.7,5.7,26.3,5.7,5.7,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
5.7
<27.3>
5.1
实PER
高值平均
40.8
安值平均
21.7
PBR
1.09
株倡(8/27)
3
985P9
最低購人额
5
7.8
9万8500F
子单用特
6969
31独主色",2633.png,0.9956140350877192,0.5888903672166046,0.7558940926024481,業績急伸型,電気機器,0.0,3.0,5.7,0.7217163384779139
2025Q4_PRE,277,3004.T,神栄,卸売業,0.8052368281000531,39.22751961375981,26.065573770491813,10.200443465352738,14.464751958224545,0.6396008726708596,17.84064665127021,66.66666666666666,99.56840742339232,100.0,2307.0,6276,39.22751961375981,2025-09-30,2025-09-30,5.1,5.1,26.3,5.1,5.1,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
5.1
<27.3>
6.2
实PER
高值平均
5.1
安值平均
3.1
PBR
0-94
株（8/27)
2
2128m
最低購人额
5
6.1
21万28009
连中特
3004
卸",665.png,0.9948096885813148,0.586987759446514,0.8166112293773284,中間型,卸売業,0.0,3.0,5.1,0.8052368281000531
2025Q4_PRE,449,9876.T,コックス,小売業,0.766317189994678,28.643216080402013,23.671497584541058,10.510502340223704,15.11111111111112,0.5524287065185763,22.11981566820277,66.66666666666666,80.0,100.0,256.0,6535,28.643216080402013,2025-09-30,2025-09-30,5.9,5.9,26.2,5.9,5.9,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.2>
5.9
<27.2>
5.8
实PER
高值平均
13.6
安值平均
7.0
PBR
0-65
株幅(8/27)
220F
最低購人额
5
4.4
2万2000F
9876",3905.png,0.9938650306748468,0.4788650878126663,0.787300425758382,中間型,小売業,0.0,3.0,5.9,0.766317189994678
2025Q4_PRE,357,8395.T,佐賀銀行,銀行業,0.788201170835551,45.268663813599616,31.34135855546001,15.022650187670417,24.21702690780767,0.5277713806345874,30.30427631578947,66.66666666666666,99.02755267423015,100.0,3055.0,6276,45.268663813599616,2025-09-30,2025-09-30,6.0,6.0,26.3,6.0,6.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
6.0
<27.3>
5.6
实PER
高值平均
6.1
安值平均
4.3
PBR
0.40
株倡(8/27)
28429
最低購人额
5
62
28万4200F
8395
特
銀",3392.png,0.99375,0.590034592868547,0.8070050558807877,中間型,銀行業,0.0,3.0,6.0,0.788201170835551
2025Q4_PRE,332,4840.T,トライアイズ,サービス業,0.7926929217668972,48.58044164037856,31.197771587743727,20.335701077327872,27.63157894736843,0.5874773587357613,26.430517711171664,66.66666666666666,99.36708860759494,45.0,471.0,5960,48.58044164037856,2025-09-30,2025-09-30,6.0,6.0,25.12,6.0,6.0,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
6'8
(26.12>
24.7
实PER
高值平均
26.4
安值平均
15.9
PBR
0-63
株倡(8/27)
4129
CLA
最低購人额
4万1200F
4840
速之特
出色",1685.png,0.9925233644859812,0.4069784459819053,0.7685670569451836,中間型,サービス業,0.0,3.0,6.0,0.7926929217668972
2025Q4_PRE,64,6822.T,大井電気,電気機器,0.8769079297498672,126.468910439247,26.83706070287539,17.56115059243592,20.664739884393057,0.9080939258615108,22.745762711864405,75.0,95.31812725090036,95.0,3970.0,6535,126.468910439247,2025-09-30,2025-09-30,6.0,6.0,26.3,6.0,6.0,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<26.3>
6.0
<27.3>
4.7
实PER
高值平均
4.1
安值平均
2.4
PBR
0.70
株倡(8/27)
确
3810m
最低購人额
5
5.7
38万1000m
连办特
6822
结2色",2551.png,0.9890350877192984,0.5893959552953698,0.9262373602980308,業績急伸型,電気機器,0.0,3.0,6.0,0.8769079297498672
2025Q4_PRE,484,5940.T,不二サッシ,金属製品,0.7600558807876531,26.323529411764703,23.95382395382395,12.199605993753064,22.300140252454412,0.5707512854293806,18.75,75.0,83.39805825242719,95.0,859.0,6276,26.323529411764703,2025-09-30,2025-09-30,4.8,4.8,26.3,4.8,4.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
4.8
<27.3>
4.6
实PER
高值平均
14.8
安值平均
10.7
PBR
0.45
株幅（8/27)
869
810m
最低購人额
5
0.1
8万1000P
速晶特
5940
金
6",2034.png,0.9885057471264368,0.5847325705162321,0.769598190526876,中間型,金属製品,0.0,3.0,4.8,0.7600558807876531
2025Q4_PRE,252,3020.T,アプライド,小売業,0.8099095263438,53.696498054474716,15.49707602339181,13.731137918310344,26.93498452012384,0.8031637276968729,14.467353951890038,75.0,98.50374064837905,80.0,3950.0,4937,53.69649805447472,2025-09-30,2025-09-30,6.0,6.0,26.3,6.0,6.0,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<26.3>
6.0
<27.3>
5.9
实PER
高值平均
5.8
安值平均
4.1
PBR
88-0
株倡(8/27)
2
3930m
1万件
最低購人额
6.0
39万3000m
速州特
3020",669.png,0.9861963190184048,0.5888105375199574,0.7792908461947845,中間型,小売業,0.0,3.0,6.0,0.8099095263438
2025Q4_PRE,727,5283.T,高見澤,卸売業,0.7133741351782864,24.610051993067582,14.856230031948892,8.799050622580033,10.615384615384604,0.6423812030488045,19.54022988505747,58.333333333333336,89.875,80.0,3595.0,6534,24.610051993067582,2025-09-30,2025-09-30,5.3,5.3,26.6,5.3,5.3,medium,medium,low,low,low,"株伍指标
海正格
予想PER
（倍）
<26.6>
5.3
<27.6>
5.1
实PER
高值平均
7.2
安值平均
4.9
PBR
0-36
株幅(8/27)
3205F
确
最低購人额
5
32万500P9
4.7
5283
卸",1855.png,0.986159169550173,0.705714475784992,0.6950572112825971,中間型,卸売業,0.0,3.0,5.3,0.7133741351782864
2025Q4_PRE,178,6286.T,靜甲,機械,0.831080361894625,52.29885057471264,21.979286536248566,11.190206457735986,16.25929861849096,0.7743837674692113,29.841897233201585,75.0,98.69646182495345,100.0,1060.0,6534,52.29885057471264,2025-09-30,2025-09-30,5.7,5.7,26.3,5.7,5.7,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
5.7
<27.3>
5.7
实PER
高值平均
10.3
安值平均
6.2
PBR
0-39
株倡(8/27)
975P
最低購人额
5
67
9万7500F
6286
概",2245.png,0.9837962962962964,0.5867349654071314,0.8509379989356041,業績急伸型,機械,0.0,3.0,5.7,0.831080361894625
2025Q4_PRE,540,6317.T,北川鉄工所,機械,0.7472804683342205,33.739837398373986,18.601297764960357,9.70435832450509,12.129760225669962,0.6057010490850485,23.02936630602782,66.66666666666666,94.75806451612904,95.0,1645.0,6276,33.739837398373986,2025-09-30,2025-09-30,5.7,5.7,26.3,5.7,5.7,medium,medium,low,low,low,"株伍指标
布正格
予想PER
（倍）
<26.3>
5.7
<27.3>
10.4
实PER
高值平均
12.6
安值平均
0'8
PBR
0-33
66
株佰（8/27)
2
1544m
最低購人额
5
15万44009
81
6317
概",2264.png,0.9837962962962964,0.5867349654071314,0.7803086748270356,中間型,機械,0.0,3.0,5.7,0.7472804683342205
2025Q4_PRE,105,2286.T,林兼産業,食料品,0.8561734965407133,47.4012474012474,39.01960784313725,17.394056100058943,20.472440944881896,0.6656573538224968,16.666666666666664,75.0,98.06362378976486,100.0,709.0,6276,47.4012474012474,2025-09-30,2025-09-30,5.6,5.6,26.3,5.6,5.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
5.6
<27.3>
5.4
实PER
高值平均
9.1
安值平均
6.7
PBR
0.45
株佰（8/27)
25
6369
山
最低購人额
5
92
6万3600P
外速利特
2286
食",298.png,0.983739837398374,0.5863557743480574,0.8838544438531133,業績急伸型,食料品,0.0,3.0,5.6,0.8561734965407133
2025Q4_PRE,595,1430.T,ファーストコーポレーション,建設業,0.7352847259180416,34.73132372214942,20.657276995305175,8.958249386494188,12.195121951219525,0.5501511515918149,18.190661478599225,66.66666666666666,97.44075829383885,100.0,1028.0,2699,34.73132372214942,2025-09-30,2025-09-30,6.4,6.4,26.5,6.4,6.4,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.5>
6.4
<27.5>
5.9
实PER
高值平均
9.0
安值平均
6.4
PBR
1.15
株（8/27)
3
940m
最低購人额
5
8.3
9万4000F
连加特
1430
建
精6色",27.png,0.9833333333333332,0.6984233634912188,0.7319252261841405,中間型,建設業,0.0,3.0,6.4,0.7352847259180416
2025Q4_PRE,337,9220.T,エフビー介護サービス,サービス業,0.7920276742948377,33.006535947712415,15.297450424929181,8.65311953085503,14.176974310180787,0.78552024644779,11.846001974333664,66.66666666666666,98.54721549636804,95.0,1221.0,959,33.006535947712415,2025-09-30,2025-09-30,6.4,6.4,26.3,6.4,6.4,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
6.4
<27.3>
6.3
实PER
高值平均
8.5
安值平均
5.7
PBR
0-81
株（8/27)
2
11939
最低購人额
5
1.4
11万93009
9220
新",3614.png,0.9822429906542056,0.589888238424694,0.7912852581160191,中間型,サービス業,0.0,3.0,6.4,0.7920276742948377
2025Q4_PRE,325,6748.T,星和電機,電気機器,0.7939755188930283,41.05058365758756,29.695885509838995,12.644358672233627,15.91289782244556,0.6008061984124032,17.957746478873236,75.0,98.50543478260869,90.0,725.0,6469,41.05058365758756,2025-09-30,2025-09-30,6.3,6.3,25.12,6.3,6.3,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<25.12>
6.3
(26.12>
6.1
实PER
高值平均
7.8
安值平均
5.4
PBR
0-50
株倡(8/27)
6799
十万件
最低購人额
6万7900F
6748
金",2514.png,0.9802631578947368,0.4064595529536987,0.8068919638105375,中間型,電気機器,0.0,3.0,6.3,0.7939755188930283
2025Q4_PRE,319,3417.T,大木ヘルスケアホールディングス,卸売業,0.7957211282597126,49.513513513513516,31.09004739336494,13.467523400650746,16.208530805687204,0.6057223225577151,27.058823529411768,58.333333333333336,97.60056457304164,100.0,1383.0,6535,49.51351351351352,2025-09-30,2025-09-30,5.8,5.8,26.3,5.8,5.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
5.8
<27.3>
5.4
实PER
高宿平均
6.4
安值平均
4.4
PBR
0-56
株倡(8/27)
2
1271A
十万件
最低購人额
5
9.0
12万71009
3417
卸
增",888.png,0.9775086505190312,0.5860497605109101,0.8422232570516232,中間型,卸売業,0.0,3.0,5.8,0.7957211282597126
2025Q4_PRE,573,9867.T,ソレキア,卸売業,0.7413783927621076,42.413793103448285,30.07874015748031,20.62442177572849,25.88055130168454,0.5497336729147366,19.561688311688307,58.333333333333336,96.83470105509964,90.0,8260.0,6535,42.413793103448285,2025-09-30,2025-09-30,5.8,5.8,26.3,5.8,5.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
5.8
<27.3>
5.5
实PER
高值平均
9.3
安值平均
4.4
PBR
0-57
株幅(8/27)
万确
7370P
最低購人额
5
0.2
73万7000m
9867
卸",3902.png,0.9775086505190312,0.5860497605109101,0.7856439595529537,中間型,卸売業,0.0,3.0,5.8,0.7413783927621076
2025Q4_PRE,684,8891.T,ＡＭＧホールディングス,不動産業,0.7218573709419905,22.483221476510074,7.6167076167076075,8.966488495634756,12.397540983606548,0.7865786572231592,17.552916881775936,75.0,88.12877263581488,65.0,2190.0,5770,22.483221476510074,2025-09-30,2025-09-30,5.8,5.8,26.3,5.8,5.8,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
5.8
<27.3>
5.6
实PER
高值平均
6.8
安值平均
4.0
PBR
0-56
株幅(8/27)
2
2210m
最低購人额
22万1000F
92
速の特
8891
宋
686",3491.png,0.9772727272727272,0.5859167110164981,0.7145689196381054,中間型,不動産業,0.0,3.0,5.8,0.7218573709419905
2025Q4_PRE,240,9791.T,ビケンテクノ,サービス業,0.8133954230973923,43.240223463687144,25.933202357563843,14.72669841402318,20.207253886010367,0.6566713003505266,12.845849802371545,66.66666666666666,98.31288343558282,100.0,1282.0,5914,43.24022346368714,2025-09-30,2025-09-30,6.6,6.6,26.3,6.6,6.6,medium,medium,low,low,low,"株伍指标
予想PER
（倍）
<26.3>
6.6
<27.3>
5.5
实PER
高值平均
7.0
安值平均
5.4
PBR
0-39
株佰（8/27)
3
11329
最低購人额
5
4.6
11万32009
9791",3874.png,0.9757009345794392,0.5898749334752528,0.8334819052687599,業績急伸型,サービス業,0.0,3.0,6.6,0.8133954230973923
2025Q4_PRE,78,7173.T,東京きらぼしフィナンシャルグループ,銀行業,0.8702341671101649,74.18576598311218,18.75,13.066064571715604,17.45762711864407,0.9253159571260786,29.493464052287578,91.66666666666666,97.69959404600812,85.0,7220.0,2814,74.18576598311218,2025-09-30,2025-09-30,6.4,6.4,26.3,6.4,6.4,medium,medium,low,low,low,"7250
株伍指标
予想PER
（倍）
<26.3>
6.4
<27.3>
6.1
实PER
高值平均
5.5
安值平均
3.0
PBR
0-66
株幅(8/27)
7030F
最低購人额
5
8.5
70万3000F
7173
特
銀",2749.png,0.975,0.5887972325705163,0.854823044172432,中間型,銀行業,0.0,3.0,6.4,0.8702341671101649
2025Q4_PRE,868,9776.T,札幌臨床検査センター,サービス業,0.6845183608302289,21.00840336134453,12.94118169927765,10.093620397537409,20.48872402357138,0.7031527166246981,10.89109586741821,83.33333333333334,85.52338605021363,100.0,195164928.0,6527,21.00840336134453,2025-09-30,2025-09-30,6.7,6.7,26.3,6.7,6.7,medium,medium,low,low,low,"株伍指标
（倍）
予想PER
<26.3>
6.7
<27.3>
6.5
实PER
高值平均
9.1
安值平均
7.0
PBR
0-30
株幅(8/27)
1080F
最低購人额
5
12
10万8000P
9776
H",3868.png,0.9738317757009346,0.5899680681213412,0.7393493879723256,中間型,サービス業,0.0,3.0,6.7,0.6845183608302289
