date,ticker,action,price,shares,reason,nikkei_phase
2026-01-05,8600.T,BUY,795.7599999999999,100,condition2_entry,normal
2026-01-05,6343.T,BUY,167.475,900,condition2_entry,normal
2026-01-05,3289.T,BUY,1450.435,100,condition2_entry,normal
2026-01-05,6379.T,BUY,2469.495,100,condition2_entry,normal
2026-01-05,4043.T,BUY,4184.844999999999,100,condition2_entry,normal
2026-01-05,7246.T,BUY,825.0,500,condition2_entry,normal
2026-01-05,5697.T,BUY,754.0,600,condition2_entry,normal
2026-01-06,7241.T,BUY,1080.975,300,condition2_entry,normal
2026-01-06,9405.T,BUY,860.7199999999999,400,condition2_entry,normal
2026-01-09,7241.T,SELL,1070.0,300,sell_signal,normal
2026-01-09,7722.T,BUY,967.295,700,condition2_entry,normal
2026-01-15,7722.T,SELL,1047.0,700,take_profit,normal
2026-01-15,3020.T,BUY,4389.875,100,condition2_entry,normal
2026-01-16,8600.T,SELL,868.0,100,take_profit,surge
2026-01-16,6343.T,SELL,178.0,900,sell_signal,surge
2026-01-16,3289.T,SELL,1495.0,100,sell_signal,surge
2026-01-16,6379.T,SELL,2551.0,100,sell_signal,surge
2026-01-16,4043.T,SELL,4399.0,100,sell_signal,surge
2026-01-16,7246.T,SELL,874.0,500,sell_signal,surge
2026-01-16,5697.T,SELL,835.0,600,take_profit,surge
2026-01-16,9405.T,SELL,864.0,400,sell_signal,surge
2026-01-16,3020.T,SELL,4350.0,100,sell_signal,surge
2026-01-19,5697.T,BUY,850.0,100,q3_post_high_vol_entry,high_vol
2026-01-21,5697.T,SELL,788.0,100,stop_loss,high_vol
2026-01-22,5105.T,BUY,4424.384999999999,700,q3_post_high_vol_entry,high_vol
2026-01-23,5105.T,SELL,4446.0,700,sell_signal,normal
2026-01-28,8343.T,BUY,4694.375,300,q3_post_high_vol_entry,settling
2026-01-29,8343.T,SELL,4845.0,300,sell_signal,settling
2026-01-30,9531.T,BUY,6819.784999999999,100,condition2_entry,uptrend
2026-02-02,9531.T,SELL,7018.0,100,sell_signal,uptrend
2026-02-02,1946.T,BUY,2075.6749999999997,100,condition2_entry,uptrend
2026-02-02,5901.T,BUY,3933.1249999999995,100,condition2_entry,uptrend
2026-02-02,1938.T,BUY,2328.0,200,condition2_entry,uptrend
2026-02-02,7231.T,BUY,3176.95,300,condition2_entry,uptrend
2026-02-02,9405.T,BUY,842.4499999999999,1400,condition2_entry,uptrend
2026-02-03,1946.T,SELL,2028.0,100,sell_signal,normal
2026-02-03,9405.T,SELL,844.0,1400,sell_signal,normal
2026-02-03,5697.T,BUY,817.0749999999999,500,condition2_entry,normal
2026-02-03,7981.T,BUY,3016.58,100,condition2_entry,normal
2026-02-04,5697.T,SELL,818.0,500,sell_signal,normal
2026-02-04,7981.T,SELL,2935.0,100,sell_signal,normal
2026-02-04,7722.T,BUY,1011.9549999999999,200,condition2_entry,normal
2026-02-04,8387.T,BUY,2146.725,100,condition2_entry,normal
2026-02-04,3289.T,BUY,1477.84,300,condition2_entry,normal
2026-02-05,7231.T,SELL,3265.0,300,pre_earnings_exit,normal
2026-02-05,3289.T,SELL,1509.5,300,pre_earnings_exit,normal
2026-02-05,7971.T,BUY,791.6999999999999,2500,condition2_entry,normal
2026-02-06,1938.T,SELL,2526.0,200,take_profit,normal
2026-02-06,7722.T,SELL,1015.0,200,pre_earnings_exit,normal
2026-02-06,7971.T,SELL,795.0,2500,sell_signal,normal
2026-02-06,1814.T,BUY,3970.0,100,condition2_entry,normal
2026-02-06,9063.T,BUY,4562.424999999999,100,condition2_entry,normal
2026-02-06,7231.T,BUY,3258.1499999999996,500,condition2_entry,normal
2026-02-09,5901.T,SELL,4134.0,100,pre_earnings_exit,surge
2026-02-09,8387.T,SELL,2383.0,100,take_profit,surge
2026-02-09,1814.T,SELL,4125.0,100,sell_signal,surge
2026-02-09,9063.T,SELL,4400.0,100,sell_signal,surge
2026-02-09,7231.T,SELL,3385.0,500,sell_signal,surge
2026-02-16,6343.T,BUY,216.0,7900,q3_post_high_vol_entry,high_vol
2026-02-17,6343.T,SELL,208.0,7900,sell_signal,high_vol
2026-02-17,9531.T,BUY,7551.599999999999,200,q3_post_high_vol_entry,high_vol
2026-02-17,3352.T,BUY,1767.0,1000,q3_post_high_vol_entry,high_vol
2026-03-04,9531.T,SELL,7500.0,200,crash_early_exit,crash
2026-03-04,3352.T,SELL,1784.58,1000,crash_early_exit,crash
2026-03-05,4624.T,BUY,3945.0,800,q2_defensive_entry,crash
2026-03-09,4624.T,SELL,3785.0,800,crash_early_exit,crash
