max_extra,min_prob,min_value,top_percent,final_capital_mean,profit_mean,max_dd_mean
5,0.6,100000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.6,100000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.6,200000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.6,200000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.6,200000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,50000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,50000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,50000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,100000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,100000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,100000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,200000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,200000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.62,200000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,50000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,50000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,50000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,100000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,100000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,100000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,200000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,200000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
5,0.64,200000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,50000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,50000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,50000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,100000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,100000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,100000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,200000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,200000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.6,200000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,50000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,50000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,50000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,100000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,100000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,100000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,200000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,200000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.62,200000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,50000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,50000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,50000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,100000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,100000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,100000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,200000000.0,20.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,200000000.0,40.0,3279796.053125,279796.0531250001,0.035249272935008534
10,0.64,200000000.0,60.0,3279796.053125,279796.0531250001,0.035249272935008534
