ticker,simple_sector,sector_33,buy_date,sell_date,shares,buy_price,sell_price,pnl,return_pct,exit_reason
3289.T,225/不動産,不動産業,2026-01-05,2026-01-06,200,1450.435,1468.0,3513.000000000011,1.211016005543164,sell_signal
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-06,2026-01-09,400,1080.975,1070.0,-4389.999999999964,-1.0152871250491358,sell_signal
8344.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-06,100,1963.01,1985.0,2199.000000000001,1.1202184400487036,early_take_profit_top
8600.T,銀行/地方銀行,銀行業,2026-01-05,2026-01-06,100,795.7599999999999,810.0,1424.0000000000123,1.7894842666130728,early_take_profit_top
5697.T,鉄鋼/鉄鋼,鉄鋼,2026-01-05,2026-01-16,600,754.0,802.0,28800.0,6.366047745358094,early_take_profit_top
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-16,2026-01-19,100,4562.424999999999,4398.95,-16347.499999999945,-3.5830725984536627,early_stop_top
7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,2026-01-05,2026-01-09,600,825.0,847.0,13200.0,2.6666666666666616,early_take_profit_top
6343.T,機械/住宅建設,機械,2026-01-05,2026-01-14,800,167.475,168.83999999999997,1091.9999999999845,0.8150470219435713,early_take_profit_top
5105.T,ゴム/タイヤ・ゴム,ゴム製品,2026-01-22,2026-01-23,200,4424.384999999999,4447.124999999999,4547.999999999956,0.5139697381669972,early_take_profit_top
7184.T,銀行/地方銀行,銀行業,2026-01-23,2026-01-26,500,2414.685,2285.0,-64842.49999999997,-5.370679819520974,stop_loss
3388.T,卸売/電子部品・産業用電子機器,卸売業,2026-01-05,2026-01-07,100,2403.52,2424.06,2053.9999999999964,0.8545799494075412,early_take_profit_top
7241.T,輸送用機器/自動車部品,輸送用機器,2026-01-14,2026-01-15,500,1099.245,1111.53,6142.500000000041,1.1175852516954965,early_take_profit_top
9405.T,大幅増額/情報通信,情報・通信業,2026-01-06,2026-01-07,500,860.7199999999999,875.3549999999999,7317.499999999995,1.7003206617715483,early_take_profit_top
9531.T,225/電気ガス,電気・ガス業,2026-01-09,2026-01-14,100,6325.48,6460.0,13452.000000000044,2.126637029917111,early_take_profit_top
9405.T,大幅増額/情報通信,情報・通信業,2026-02-02,2026-02-03,500,842.4499999999999,844.0,775.0000000000341,0.1839871802481019,sell_signal
7184.T,銀行/地方銀行,銀行業,2026-01-27,2026-02-04,800,2319.275,2343.0,18979.999999999927,1.0229489819016724,early_take_profit_top
1938.T,建設/設備工事,建設業,2026-02-02,2026-02-04,100,2328.0,2365.0,3700.0,1.589347079037795,early_take_profit_top
7231.T,輸送用機器/自動車部品,輸送用機器,2026-02-02,2026-02-05,100,3176.95,3265.0,8805.000000000018,2.7715261492941456,early_take_profit_top
3352.T,小売/他消費財小売り,小売業,2026-02-02,2026-02-03,100,1650.0,1674.0,2400.0,1.454545454545464,early_take_profit_top
7241.T,輸送用機器/自動車部品,輸送用機器,2026-02-05,2026-02-09,2100,1084.0,1116.0,67200.0,2.9520295202952074,early_take_profit_top
3289.T,225/不動産,不動産業,2026-02-04,2026-02-05,100,1477.84,1509.5,3166.000000000008,2.1423158122665598,early_take_profit_top
1768.T,建設/建設・土木,建設業,2026-02-12,2026-02-17,300,1658.5099999999998,1695.4349999999997,11077.499999999985,2.2263959819355916,early_take_profit_top
1879.T,建設/建設・土木,建設業,2026-02-27,2026-03-03,700,2175.145,2071.92,-72257.49999999994,-4.745660634118643,early_stop_top
4619.T,化学/タイヤ・ゴム,化学,2026-02-27,2026-03-04,500,2487.765,2343.52,-72122.49999999994,-5.798176274688316,early_stop_top
7456.T,卸売/非鉄金属・金属製品,卸売業,2026-03-05,2026-03-06,100,8110.0,7711.5,-39850.0,-4.913686806411832,early_stop_top
8393.T,銀行/地方銀行,銀行業,2026-03-05,2026-03-06,200,9220.0,9286.199999999999,13239.999999999782,0.7180043383947732,early_take_profit_top
8393.T,銀行/地方銀行,銀行業,2026-03-10,2026-03-10,100,8880.0,9170.0,29000.0,3.26576576576576,end_of_backtest
5714.T,225/非鉄金属,非鉄金属,2026-03-10,2026-03-10,200,9811.0,10055.0,48800.0,2.4870043828356003,end_of_backtest
