date,ticker,simple_sector,sector_33,action,price,shares,cash_after,signal_score,macro_confirm_score,macro_corr_score,signal_basis_date,reason
2026-01-05,6343.T,機械/住宅建設,機械,BUY,167.475,500,2916262.5,0.5008117367223045,0.0,0.0,2025-12-30,buy_breakout_up
2026-01-05,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,825.0,100,2833762.5,0.4292508515324612,0.0,0.0,2025-12-30,buy_breakout_up
2026-01-05,5697.T,鉄鋼/鉄鋼,鉄鋼,BUY,754.0,100,2758362.5,0.4236233749443153,0.0,0.0,2025-12-30,buy_breakout_up
2026-01-06,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3202.325,100,2438130.0,0.43972316331024847,0.0,0.0,2026-01-05,buy_breakout_up
2026-01-06,9405.T,大幅増額/情報通信,情報・通信業,BUY,860.7199999999999,500,2007770.0,0.4166600859644206,0.0,0.0,2026-01-05,buy_breakout_up
2026-01-06,7241.T,輸送用機器/自動車部品,輸送用機器,BUY,1080.975,400,1575380.0,0.4118235266703493,0.0,0.0,2026-01-05,buy_breakout_up
2026-01-09,7241.T,輸送用機器/自動車部品,輸送用機器,SELL,1070.0,400,2003380.0,0.38763988603524807,,,2026-01-08,sell_signal
2026-01-09,9531.T,225/電気ガス,電気・ガス業,BUY,6325.48,300,105736.00000000023,0.44394770769961206,0.0,0.0,2026-01-08,buy_breakout_up
2026-01-16,5697.T,鉄鋼/鉄鋼,鉄鋼,SELL,835.0,100,189236.00000000023,0.5172545854709957,,,2026-01-15,take_profit
2026-01-22,7246.T,輸送用機器/建設農業機械・産業車両,輸送用機器,SELL,892.0,100,278436.00000000023,0.49741944705569396,,,2026-01-21,take_profit
2026-01-23,6343.T,機械/住宅建設,機械,SELL,181.0,500,368936.00000000023,0.562610276917546,,,2026-01-22,take_profit
2026-01-23,7184.T,銀行/地方銀行,銀行業,BUY,2414.685,100,127467.50000000023,0.7708377612436234,0.0,0.0,2026-01-22,buy_breakout_up
2026-01-26,7184.T,銀行/地方銀行,銀行業,SELL,2285.0,100,355967.50000000023,0.7820240784191975,,,2026-01-23,stop_loss
2026-01-27,7231.T,輸送用機器/自動車部品,輸送用機器,SELL,3136.0,100,669567.5000000002,0.44422274709431514,,,2026-01-26,early_stop_top
2026-01-27,7184.T,銀行/地方銀行,銀行業,BUY,2319.2749999999996,200,205712.5000000003,0.7283432207958643,0.0,0.0,2026-01-26,buy_breakout_up
2026-01-28,9405.T,大幅増額/情報通信,情報・通信業,SELL,813.0,500,612212.5000000002,0.37027111988795824,,,2026-01-27,stop_loss
2026-01-30,9531.T,225/電気ガス,電気・ガス業,SELL,6846.0,300,2666012.5,0.5152309396158499,,,2026-01-29,take_profit
2026-02-02,1938.T,建設/設備工事,建設業,BUY,2328.0,100,2433212.5,0.44208259857431664,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-02,3352.T,小売/他消費財小売り,小売業,BUY,1650.0,200,2103212.5,0.4148972146349676,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-02,7231.T,輸送用機器/自動車部品,輸送用機器,BUY,3176.95,100,1785517.5,0.39953278231423134,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-02,9405.T,大幅増額/情報通信,情報・通信業,BUY,842.4499999999999,700,1195802.5,0.36608068921167747,0.0,0.0,2026-01-30,buy_breakout_up
2026-02-03,9405.T,大幅増額/情報通信,情報・通信業,SELL,844.0,700,1786602.5,0.3824841034984429,,,2026-02-02,sell_signal
2026-02-03,7102.T,輸送用機器/建設農業機械・産業車両,輸送用機器,BUY,3950.0,200,996602.5,0.4453063241977773,0.0,0.0,2026-02-02,buy_breakout_up
