ticker,company_name,market,simple_sector,sector,feature_summary,segment_summary,flags,headline_positive_count,headline_negative_count,headline_score_raw,shikiho_score_overall,score_growth,score_profitability,score_safety,score_undervalued,score_momentum,forecast_per,actual_pbr,forecast_yield,ytd_return_text_pct,ma200_gap_pct,equity_ratio_pct,sales_growth_pct,op_growth_pct,np_growth_pct,eps_growth_pct,div_growth_pct,annual_return_pct,trailing_return_pct,quarter_return_pct,avg_monthly_high_low_change_pct,max_monthly_high_low_change_pct,trend_r2,max_drawdown_pct,positive_month_ratio_pct,persistence_20d_pct,end_to_trailing_high_pct,quarter_end_close,price_rows,sector_33,sector_adjusted_per_score,fundamental_score,price_score,valuation_score,promising_score,selected,selection_reason
8522.T,名古屋銀行,東証プライム,増額/銀行,増額/銀行,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,6,1,5,4.0,5.0,5.0,,4.0,5.0,10.71,0.86,3.64,,,,12.745098039215685,49.25373134328359,30.41237113402062,30.433679939132617,,99.03846737901152,125.30612244897958,26.315789473684205,17.035292165694177,28.601252609603335,0.9335187600871115,32.57211340602327,69.23076923076923,70.0,89.6103896103896,5520.0,6276,銀行業,0.8888888888888888,0.7687010297960438,0.8183634175691938,0.8190150807047543,0.8011119144757034,True,score=0.801 | annual=99.0 | quarter=26.3 | trend_r2=0.934 | per_score=0.889
4972.T,綜研化学,東証スタンダード,会社比強気/前号並み,会社比強気/前号並み,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,4,0,4,4.0,5.0,4.0,4.0,4.0,5.0,11.3,1.34,2.64,,,,4.303278688524581,6.466876971608837,15.121951219512187,15.095103197086202,13.33333333333333,106.27802690582962,107.20720720720722,29.45590994371483,12.374248366408407,19.82142857142857,0.8773663623455457,24.213649851632045,76.92307692307693,100.0,99.42363112391931,3450.0,6197,化学,0.6836734693877551,0.7145578067168766,0.8793441636582432,0.6019271055933013,0.7661855271157765,True,score=0.766 | annual=106.3 | quarter=29.5 | trend_r2=0.877 | per_score=0.684
5121.T,藤倉コンポジット,東証プライム,前号並み/ゴム,前号並み/ゴム,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,2,0,2,4.0,4.0,4.0,4.0,4.0,5.0,11.55,1.34,3.01,,,,5.651105651105648,15.999999999999993,15.263157894736846,15.26526526526526,10014.473684210527,76.78812415654521,84.24753867791843,28.117359413202927,12.70704789354276,22.626441881100256,0.8758957124571998,21.72158708809684,69.23076923076923,100.0,94.61899602744673,2620.0,6273,ゴム製品,0.7212252475247525,0.7000016279666318,0.8646630565583635,0.6399261611767831,0.7620841774749413,True,score=0.762 | annual=76.8 | quarter=28.1 | trend_r2=0.876 | per_score=0.721
7184.T,富山第一銀行,東証プライム,大幅増額/銀行,大幅増額/銀行,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,6,0,6,4.0,5.0,5.0,,4.0,5.0,10.99,0.82,3.27,,,,6.730769230769229,11.538461538461542,5.714285714285716,5.747642568477773,6.41025641025641,117.23214285714288,141.84890656063618,35.3923205342237,23.7435627459843,39.05817174515236,0.8518577649503568,20.421052631578952,69.23076923076923,65.0,83.92549154880994,2433.0,2460,銀行業,0.7611386138613861,0.6764577376477571,0.8362334536702768,0.7394530815991409,0.7609558786481676,True,score=0.761 | annual=117.2 | quarter=35.4 | trend_r2=0.852 | per_score=0.761
6518.T,三相電機,東証スタンダード,会社比強気/増額,会社比強気/増額,,,信用 / 最新の四季報作成後に通期業績予想の変更はありません。,2,0,2,4.0,4.0,3.0,4.0,4.0,5.0,10.53,0.48,1.91,,,,3.93258426966292,8.974358974358964,7.407407407407418,7.372881355932215,0.0,68.6104218362283,65.93406593406594,33.49705304518664,15.412147026978912,31.1284046692607,0.8590946121768203,10.827250608272509,61.53846153846154,100.0,92.51191286589517,1359.0,6533,電気機器,0.734375,0.6209470922531416,0.8845968712394706,0.7138675620875349,0.7581735867638684,True,score=0.758 | annual=68.6 | quarter=33.5 | trend_r2=0.859 | per_score=0.734
7762.T,シチズン時計,東証プライム,増額/精密機器,増額/精密機器,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。 / 【QAあり】シチズン時計、主力の時計事業が大幅増益を達成 通期業績予想を上方修正 / 【QAあり】シチズン時計、主力の時計事業が大幅増益を達成 通期業績予想を上方修正2025/11/14 19:00 ログミーファイナンス / 【QAあり】シチズン時計、収益性改善が進み時計・工作機械事業の営業利益が2桁増 前年比で円高の為替影響を受けつつも堅調に推移 / 【QAあり】シチズン時計、収益性改善が進み時計・工作機械事業の営業利益が2桁増 前年比で円高の為替影響を受けつつも堅調に推移2025/08/15 15:00 ログミーファイナンス,8,0,8,4.0,5.0,4.0,4.0,3.0,5.0,16.88,1.49,2.73,,,,3.703703703703698,11.111111111111116,4.166666666666674,4.166666666666652,10004.255319148937,75.89473684210526,85.2549889135255,29.63537626066719,18.688253342409634,42.782738095238095,0.8192386890991975,22.877846790890267,53.84615384615385,90.0,87.07660239708181,1671.0,6535,精密機器,1.0,0.6791318376826931,0.8016787003610109,0.7606812445983926,0.7505878072710761,True,score=0.751 | annual=75.9 | quarter=29.6 | trend_r2=0.819 | per_score=1.0
7877.T,永大化工,東証スタンダード,大幅増額/化学,大幅増額/化学,,,優待あり / 信用 / 最新の四季報作成後に通期業績予想の変更はありません。,6,0,6,3.0,3.0,2.0,4.0,5.0,4.0,8.28,0.33,3.52,,,,1.0869565217391353,11.111111111111116,12.903225806451623,12.896825396825395,10007.142857142857,37.1943371943372,39.80327868852458,18.378678511937817,13.461139641325303,27.074468085106385,0.7748326095770552,9.547738693467334,61.53846153846154,90.0,89.24236082042695,2132.0,6535,化学,1.0,0.5907331666282984,0.7890252707581229,0.942940690681956,0.750406118297451,True,score=0.75 | annual=37.2 | quarter=18.4 | trend_r2=0.775 | per_score=1.0
7167.T,めぶきフィナンシャルグループ,東証プライム,増額/銀行,増額/銀行,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,6,1,5,4.0,4.0,5.0,,4.0,5.0,11.25,1.07,2.9,,,,15.046296296296301,37.75510204081633,25.308641975308642,25.26071842410196,12557.142857142857,64.03187352406007,100.04780892922196,19.914040114613172,10.880307427512209,17.611159546643407,0.9393952719999885,31.16017669095048,84.61538461538461,80.0,93.06893995552261,1255.5,3002,銀行業,0.6666666666666666,0.7248472509037609,0.8202045728038508,0.6356041516150706,0.7499094259010634,True,score=0.75 | annual=64.0 | quarter=19.9 | trend_r2=0.939 | per_score=0.667
4977.T,新田ゼラチン,東証スタンダード,前号並み/化学,前号並み/化学,,,優待あり / 貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,3,0,3,4.0,4.0,3.0,3.0,5.0,5.0,7.27,1.01,2.29,,,,7.499999999999996,12.5,4.761904761904767,4.742625795257371,10016.666666666668,61.42011834319527,76.6839378238342,10.266774454324977,11.143708276175968,20.600162206001627,0.9396560356518394,19.9764982373678,76.92307692307693,85.0,91.72831203765972,1364.0,3498,化学,0.9852941176470589,0.628214213141568,0.8272322503008424,0.7792152537102147,0.7479725379769708,True,score=0.748 | annual=61.4 | quarter=10.3 | trend_r2=0.94 | per_score=0.985
6932.T,遠藤照明,東証スタンダード,前号並み/電気機器,前号並み/電気機器,,,貸借 / 最新の四季報作成後に通期業績予想の変更はありません。,1,0,1,4.0,5.0,4.0,4.0,4.0,5.0,8.67,0.85,3.48,,,,4.129263913824066,13.207547169811317,12.195121951219523,12.21181556195965,11.904761904761907,95.97780859916783,109.64391691394657,16.009852216748776,12.90375150234276,20.351859256297477,0.6708449648360424,18.909592822636302,46.15384615384615,85.0,91.16129032258064,2826.0,6470,電気機器,0.927536231884058,0.7030051455762759,0.7442599277978339,0.8349623070352231,0.7479612298677665,True,score=0.748 | annual=96.0 | quarter=16.0 | trend_r2=0.671 | per_score=0.928
